File Name,Effort,Manhattan H,Learned H
03x03_board_232.csv,13,2,6.235912
03x03_board_869.csv,27,6,3.5062766
03x03_board_941.csv,44,8,5.843725
03x03_board_496.csv,30,8,10.534551
03x03_board_509.csv,36,8,4.483767
03x03_board_752.csv,60,12,9.366455
03x03_board_484.csv,87,10,9.950503
03x03_board_955.csv,62,8,8.923898
03x03_board_475.csv,51,12,10.885087
03x03_board_982.csv,12,4,5.8105383
03x03_board_888.csv,23,6,8.147986
03x03_board_570.csv,34,8,6.0024004
03x03_board_564.csv,76,12,11.086668
03x03_board_85.csv,24,6,6.4277735
03x03_board_144.csv,24,6,6.4277735
03x03_board_515.csv,51,8,7.5639396
03x03_board_529.csv,61,8,7.4543805
03x03_board_732.csv,43,6,8.147986
03x03_board_845.csv,69,8,8.923898
03x03_board_522.csv,56,10,9.388667
